"No.","Time","Source","Destination","Protocol","Length","Info"
"92","224.492031","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"93","224.547264","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"94","224.547131","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"95","224.634040","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"96","224.634178","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"97","224.647391","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"98","224.647291","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"99","552.896913","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"100","552.896788","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"101","552.950796","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"102","552.950700","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"103","611.404797","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"104","611.404949","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"105","611.452013","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"106","611.451856","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"107","622.378150","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"108","622.378295","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"109","622.400871","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"110","622.401010","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"111","629.760720","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"112","629.760903","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"113","629.800381","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"114","629.800087","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"115","654.819344","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"116","654.819501","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"117","654.851654","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"118","654.851776","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"119","687.943056","10.100.0.11","20.100.0.11","GTPv2","54","Release Access Bearers Request"
"120","687.943128","10.100.0.1","20.100.0.1","S1AP","90","UEContextReleaseCommand [RadioNetwork-cause=user-inactivity]"
"121","687.942888","20.100.0.1","10.100.0.1","S1AP","94","UEContextReleaseRequest [RadioNetwork-cause=user-inactivity]"
"122","687.946396","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"123","687.950489","20.100.0.11","10.100.0.11","GTPv2","60","Release Access Bearers Response"
"124","693.682239","10.100.0.1","20.100.0.1","S1AP","114","Paging"
"125","693.681958","20.100.0.11","10.100.0.11","GTPv2","71","Downlink Data Notification"
"126","693.682149","10.100.0.11","20.100.0.11","GTPv2","60","Downlink Data Notification Acknowledgement"
"127","694.669821","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"128","694.670148","10.100.0.1","20.100.0.1","S1AP","1370","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"129","694.669741","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"130","694.715738","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"131","694.715892","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"132","694.752103","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"133","695.791369","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"134","695.791499","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"135","695.852079","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"136","695.852204","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"137","706.770189","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"138","706.770326","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"139","706.802249","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"140","706.802149","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"141","768.423175","10.100.0.1","20.100.0.1","S1AP","90","UEContextReleaseCommand [RadioNetwork-cause=user-inactivity]"
"142","768.423103","10.100.0.11","20.100.0.11","GTPv2","54","Release Access Bearers Request"
"143","768.422926","20.100.0.1","10.100.0.1","S1AP","94","UEContextReleaseRequest [RadioNetwork-cause=user-inactivity]"
"144","768.426884","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"145","768.432076","20.100.0.11","10.100.0.11","GTPv2","60","Release Access Bearers Response"
"146","775.462369","20.100.0.11","10.100.0.11","GTPv2","71","Downlink Data Notification"
"147","775.462550","10.100.0.11","20.100.0.11","GTPv2","60","Downlink Data Notification Acknowledgement"
"148","775.462644","10.100.0.1","20.100.0.1","S1AP","114","Paging"
"149","776.599288","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"150","776.599367","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"151","776.599646","10.100.0.1","20.100.0.1","S1AP","1370","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"152","776.643997","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"153","776.644185","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"154","776.702353","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"155","777.728168","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"156","777.727985","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"157","777.752916","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"158","777.753003","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"159","786.326072","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"160","786.325871","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"161","786.352391","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"162","786.352250","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"163","814.225952","20.100.0.1","10.100.0.1","S1AP","94","UEContextReleaseRequest [RadioNetwork-cause=user-inactivity]"
"164","814.226116","10.100.0.11","20.100.0.11","GTPv2","54","Release Access Bearers Request"
"165","814.226197","10.100.0.1","20.100.0.1","S1AP","90","UEContextReleaseCommand [RadioNetwork-cause=user-inactivity]"
"166","814.229460","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"167","814.232034","20.100.0.11","10.100.0.11","GTPv2","60","Release Access Bearers Response"
"168","815.243002","10.100.0.11","20.100.0.11","GTPv2","60","Downlink Data Notification Acknowledgement"
"169","815.243062","10.100.0.1","20.100.0.1","S1AP","114","Paging"
"170","815.242800","20.100.0.11","10.100.0.11","GTPv2","71","Downlink Data Notification"
"171","816.269280","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"172","816.269380","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"173","816.269757","10.100.0.1","20.100.0.1","S1AP","1370","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"174","816.314303","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"175","816.314489","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"176","816.352978","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"177","817.396352","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"178","817.396509","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"179","817.453214","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"180","817.453385","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"181","840.975727","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"182","840.975893","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"183","841.003162","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"184","841.003040","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"185","892.820587","20.100.0.1","10.100.0.1","S1AP","94","UEContextReleaseRequest [RadioNetwork-cause=user-inactivity]"
"186","892.820827","10.100.0.1","20.100.0.1","S1AP","90","UEContextReleaseCommand [RadioNetwork-cause=user-inactivity]"
"187","892.820767","10.100.0.11","20.100.0.11","GTPv2","54","Release Access Bearers Request"
"188","892.824694","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"189","892.833018","20.100.0.11","10.100.0.11","GTPv2","60","Release Access Bearers Response"
"190","935.715148","10.100.0.1","20.100.0.1","S1AP","114","Paging"
"191","935.714876","20.100.0.11","10.100.0.11","GTPv2","71","Downlink Data Notification"
